"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","selected","unique_id"
"12","Adansonia digitata","1","512963","Adansonia digitata","1","species","","","","L.","Malvaceae","Adansonia","Adansonia","1","digitata","digitata","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000519672;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621135","","Y","Accepted","Adansonia digitata","Adansonia digitata","L.","512963","species","http://www.worldfloraonline.org/taxon/wfo-0000519672;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621135","","Malvaceae","1","1","wfo,wcvp","",true,13
"13","Adansonia gibbosa","1","512966","Adansonia gibbosa","1","species","","","","(A.Cunn.) Guymer ex D.A.Baum","Malvaceae","Adansonia","Adansonia","1","gibbosa","gibbosa","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000519675;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621138","","Y","Synonym","Adansonia gregorii","Adansonia gregorii","F.Muell.","512969","species","http://www.worldfloraonline.org/taxon/wfo-0000519678;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621140","","Malvaceae","1","1","wfo,wcvp","",true,14
"14","Adansonia grandidieri","1","512967","Adansonia grandidieri","1","species","","","","Baill.","Malvaceae","Adansonia","Adansonia","1","grandidieri","grandidieri","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000519676;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621139","","Y","Accepted","Adansonia grandidieri","Adansonia grandidieri","Baill.","512967","species","http://www.worldfloraonline.org/taxon/wfo-0000519676;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621139","","Malvaceae","1","1","wfo,wcvp","",true,15
"15","Adansonia madagascariensis","1","512972","Adansonia madagascariensis","1","species","","","","Baill.","Malvaceae","Adansonia","Adansonia","1","madagascariensis","madagascariensis","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000519681;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621144","","Y","Accepted","Adansonia madagascariensis","Adansonia madagascariensis","Baill.","512972","species","http://www.worldfloraonline.org/taxon/wfo-0000519681;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621144","","Malvaceae","1","1","wfo,wcvp","",true,16
"16","Adansonia perrieri","1","512975","Adansonia perrieri","1","species","","","","Capuron","Malvaceae","Adansonia","Adansonia","1","perrieri","perrieri","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000519684;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621147","","Y","Accepted","Adansonia perrieri","Adansonia perrieri","Capuron","512975","species","http://www.worldfloraonline.org/taxon/wfo-0000519684;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621147","","Malvaceae","1","1","wfo,wcvp","",true,17
"17","Adansonia rubrostipa","1","512976","Adansonia rubrostipa","1","species","","","","Jum. & H.Perrier","Malvaceae","Adansonia","Adansonia","1","rubrostipa","rubrostipa","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000519685;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621148","","Y","Synonym","Adansonia fony var. rubrostipa","Adansonia fony","(Jum. & H.Perrier) H.Perrier","512965","variety","http://www.worldfloraonline.org/taxon/wfo-0000519674;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621137","","Malvaceae","1","1","wfo,wcvp","",true,18
"18","Adansonia suarecensis","0.98599670627294","512983","Adansonia suarezensis","0.98599670627294","species","","","","H.Perrier","Malvaceae","Adansonia","Adansonia","1","suarecensis","suarezensis","0.90909090909091","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000519692;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621154","","","Accepted","Adansonia suarezensis","Adansonia suarezensis","H.Perrier","512983","species","http://www.worldfloraonline.org/taxon/wfo-0000519692;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621154","","Malvaceae","1","1","wfo,wcvp","",true,19
"19","Adansonia za","1","512985","Adansonia za","1","species","","","","Baill.","Malvaceae","Adansonia","Adansonia","1","za","za","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000519694;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621156","","Y","Accepted","Adansonia za","Adansonia za","Baill.","512985","species","http://www.worldfloraonline.org/taxon/wfo-0000519694;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621156","","Malvaceae","1","1","wfo,wcvp","",true,20
"20","Adenophora capillaris","1","813841","Adenophora capillaris","1","species","","","","Hemsl.","Campanulaceae","Adenophora","Adenophora","1","capillaris","capillaris","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000822566;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360216","","Y","Accepted","Adenophora capillaris","Adenophora capillaris","Hemsl.","813841","species","http://www.worldfloraonline.org/taxon/wfo-0000822566;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360216","","Campanulaceae","1","1","wfo,wcvp","",true,21
"21","Adenophora jasionifolia","1","813925","Adenophora jasionifolia","1","species","","","","Franch.","Campanulaceae","Adenophora","Adenophora","1","jasionifolia","jasionifolia","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000822650;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360294","","Y","Accepted","Adenophora jasionifolia","Adenophora jasionifolia","Franch.","813925","species","http://www.worldfloraonline.org/taxon/wfo-0000822650;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360294","","Campanulaceae","1","1","wfo,wcvp","",true,22
"22","Adenophora khasiana","1","1272186","Adenophora khasiana","1","species","","","","(Hook.f. & Thomson) Collett & Hemsl.","Campanulaceae","Adenophora","Adenophora","1","khasiana","khasiana","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0001290318;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360296","","Y","Accepted","Adenophora khasiana","Adenophora khasiana","(Hook.f. & Thomson) Collett & Hemsl.","1272186","species","http://www.worldfloraonline.org/taxon/wfo-0001290318;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360296","","Campanulaceae","1","1","wfo,wcvp","[Ambiguous]",true,23
"23","Adenophora triphylla var japonica","1","1271992","Adenophora triphylla var. japonica","1","variety","","","","(Regel.) Hara","Campanulaceae","Adenophora","Adenophora","1","triphylla","triphylla","1","","","","var.","japonica","1","","","","","","http://www.worldfloraonline.org/taxon/wfo-0001290084","","Y","Accepted","Adenophora triphylla var. japonica","Adenophora triphylla","(Regel.) Hara","1271992","variety","http://www.worldfloraonline.org/taxon/wfo-0001290084","","Campanulaceae","1","1","wfo","",true,25
"24","Adonis ramosa","1","514553","Adonis ramosa","1","species","","","","Franch.","Ranunculaceae","Adonis","Adonis","1","ramosa","ramosa","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000521270;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2623193","","Y","Accepted","Adonis ramosa","Adonis ramosa","Franch.","514553","species","http://www.worldfloraonline.org/taxon/wfo-0000521270;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2623193","","Ranunculaceae","1","1","wfo,wcvp","",true,27
"25","Aechmea lasseri","1","332524","Aechmea lasseri","1","species","","","","L.B.Sm.","Bromeliaceae","Aechmea","Aechmea","1","lasseri","lasseri","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000337726;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218050","","Y","Accepted","Aechmea lasseri","Aechmea lasseri","L.B.Sm.","332524","species","http://www.worldfloraonline.org/taxon/wfo-0000337726;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218050","","Bromeliaceae","1","1","wfo,wcvp","",true,28
"26","Aechmea mariae-reginae","1","332568","Aechmea mariae-reginae","1","species","","","","H.Wendl.","Bromeliaceae","Aechmea","Aechmea","1","mariae-reginae","mariae-reginae","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000337770;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218091","","Y","Accepted","Aechmea mariae-reginae","Aechmea mariae-reginae","H.Wendl.","332568","species","http://www.worldfloraonline.org/taxon/wfo-0000337770;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218091","","Bromeliaceae","1","1","wfo,wcvp","",true,29
"27","Aechmea pectinata","1","332647","Aechmea pectinata","1","species","","","","Baker","Bromeliaceae","Aechmea","Aechmea","1","pectinata","pectinata","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000337849;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218165","","Y","Accepted","Aechmea pectinata","Aechmea pectinata","Baker","332647","species","http://www.worldfloraonline.org/taxon/wfo-0000337849;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218165","","Bromeliaceae","1","1","wfo,wcvp","",true,30
"28","Aechmea vanhoutteana","1","1823042","Aechmea vanhoutteana","1","species","","","","(Van Houtte) Mez","Bromeliaceae","Aechmea","Aechmea","1","vanhoutteana","vanhoutteana","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218298","","Y","Accepted","Aechmea vanhoutteana","Aechmea vanhoutteana","(Van Houtte) Mez","1823042","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218298","","Bromeliaceae","1","1","wcvp","",true,31
"29","Agalinis auriculata","1","516018","Agalinis auriculata","1","species","","","","(Michx.) S.F.Blake","Orobanchaceae","Agalinis","Agalinis","1","auriculata","auriculata","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000522741;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2625023","","Y","Accepted","Agalinis auriculata","Agalinis auriculata","(Michx.) S.F.Blake","516018","species","http://www.worldfloraonline.org/taxon/wfo-0000522741;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2625023","","Orobanchaceae","1","1","wfo,wcvp","",true,32
"30","Agarista revoluta","1","516520","Agarista revoluta","1","species","","","","(Spreng.) Hook. ex Nied.","Ericaceae","Agarista","Agarista","1","revoluta","revoluta","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000523243;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2625516","","Y","Accepted","Agarista revoluta","Agarista revoluta","(Spreng.) Hook. ex Nied.","516520","species","http://www.worldfloraonline.org/taxon/wfo-0000523243;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2625516","","Ericaceae","1","1","wfo,wcvp","",true,33
"31","Agave macroacantha","1","746177","Agave macroacantha","1","species","","","","Zucc.","Asparagaceae","Agave","Agave","1","macroacantha","macroacantha","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000754543;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:293969","","Y","Accepted","Agave macroacantha","Agave macroacantha","Zucc.","746177","species","http://www.worldfloraonline.org/taxon/wfo-0000754543;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:293969","","Asparagaceae","1","1","wfo,wcvp","",true,34
"32","Ajuga chamaepitys","1","924054","Ajuga chamaepitys","1","species","","","","(L.) Schreb.","Lamiaceae","Ajuga","Ajuga","1","chamaepitys","chamaepitys","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000933181;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5197","","Y","Accepted","Ajuga chamaepitys","Ajuga chamaepitys","(L.) Schreb.","924054","species","http://www.worldfloraonline.org/taxon/wfo-0000933181;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5197","","Lamiaceae","1","1","wfo,wcvp","",true,35
"33","Ajuga iva","1","925018","Ajuga iva","1","species","","","","(L.) Schreb.","Lamiaceae","Ajuga","Ajuga","1","iva","iva","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000934146;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5293","","Y","Accepted","Ajuga iva","Ajuga iva","(L.) Schreb.","925018","species","http://www.worldfloraonline.org/taxon/wfo-0000934146;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5293","","Lamiaceae","1","1","wfo,wcvp","",true,38
"34","Alcea biennis","1","518373","Alcea biennis","1","species","","","","Winterl","Malvaceae","Alcea","Alcea","1","biennis","biennis","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000525101;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2627634","","Y","Accepted","Alcea biennis","Alcea biennis","Winterl","518373","species","http://www.worldfloraonline.org/taxon/wfo-0000525101;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2627634","","Malvaceae","1","1","wfo,wcvp","",true,39
"35","Alkanna tinctoria","1","519225","Alkanna tinctoria","1","species","","","","Tausch","Boraginaceae","Alkanna","Alkanna","1","tinctoria","tinctoria","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000525956;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2628546","","Y","Accepted","Alkanna tinctoria","Alkanna tinctoria","Tausch","519225","species","http://www.worldfloraonline.org/taxon/wfo-0000525956;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2628546","","Boraginaceae","1","1","wfo,wcvp","",true,40
"36","Allium neapolitanum","1","748384","Allium neapolitanum","1","species","","","","Cirillo","Amaryllidaceae","Allium","Allium","1","neapolitanum","neapolitanum","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000756802;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296083","","Y","Accepted","Allium neapolitanum","Allium neapolitanum","Cirillo","748384","species","http://www.worldfloraonline.org/taxon/wfo-0000756802;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296083","","Amaryllidaceae","1","1","wfo,wcvp","",true,43
"37","Allium subhirsutum","1","749041","Allium subhirsutum","1","species","","","","L.","Amaryllidaceae","Allium","Allium","1","subhirsutum","subhirsutum","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000757470;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296702","","Y","Accepted","Allium subhirsutum","Allium subhirsutum","L.","749041","species","http://www.worldfloraonline.org/taxon/wfo-0000757470;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296702","","Amaryllidaceae","1","1","wfo,wcvp","",true,44
"38","Alstroemeria aurea","1","750596","Alstroemeria aurea","1","species","","","","Graham","Alstroemeriaceae","Alstroemeria","Alstroemeria","1","aurea","aurea","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000759057;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298198","","Y","Accepted","Alstroemeria aurea","Alstroemeria aurea","Graham","750596","species","http://www.worldfloraonline.org/taxon/wfo-0000759057;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298198","","Alstroemeriaceae","1","1","wfo,wcvp","",true,53
"39","Alstroemeria umbellata","1","750889","Alstroemeria umbellata","1","species","","","","Meyen","Alstroemeriaceae","Alstroemeria","Alstroemeria","1","umbellata","umbellata","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000759352;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298471","","Y","Accepted","Alstroemeria umbellata","Alstroemeria umbellata","Meyen","750889","species","http://www.worldfloraonline.org/taxon/wfo-0000759352;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298471","","Alstroemeriaceae","1","1","wfo,wcvp","",true,56
"40","Alternanthera ficoidea","1","521807","Alternanthera ficoidea","1","species","","","","(L.) P.Beauv.","Amaranthaceae","Alternanthera","Alternanthera","1","ficoidea","ficoidea","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000528554;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2631162","","Y","Accepted","Alternanthera ficoidea","Alternanthera ficoidea","(L.) P.Beauv.","521807","species","http://www.worldfloraonline.org/taxon/wfo-0000528554;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2631162","","Amaranthaceae","1","1","wfo,wcvp","",true,57
"41","Alysicarpus vaginalis","1","174667","Alysicarpus vaginalis","1","species","","","","(L.) DC.","Fabaceae","Alysicarpus","Alysicarpus","1","vaginalis","vaginalis","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000176915;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2631830","","Y","Accepted","Alysicarpus vaginalis","Alysicarpus vaginalis","(L.) DC.","174667","species","http://www.worldfloraonline.org/taxon/wfo-0000176915;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2631830","","Fabaceae","1","1","wfo,wcvp","",true,60
"42","Amborella trichopoda","1","951690","Amborella trichopoda","1","species","","","","Baill.","Amborellaceae","Amborella","Amborella","1","trichopoda","trichopoda","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000961029;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:7867","","Y","Accepted","Amborella trichopoda","Amborella trichopoda","Baill.","951690","species","http://www.worldfloraonline.org/taxon/wfo-0000961029;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:7867","","Amborellaceae","1","1","wfo,wcvp","",true,63
"43","Lysimachia arvensis","1","735889","Lysimachia arvensis","1","species","","","","(L.) U.Manns & Anderb.","Primulaceae","Lysimachia","Lysimachia","1","arvensis","arvensis","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000744184;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2896568","","Y","Accepted","Lysimachia arvensis","Lysimachia arvensis","(L.) U.Manns & Anderb.","735889","species","http://www.worldfloraonline.org/taxon/wfo-0000744184;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2896568","","Primulaceae","1","1","wfo,wcvp","",true,64
"44","Anaxagorea brevipes","1","526668","Anaxagorea brevipes","1","species","","","","Benth.","Annonaceae","Anaxagorea","Anaxagorea","1","brevipes","brevipes","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000533450;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636360","","Y","Accepted","Anaxagorea brevipes","Anaxagorea brevipes","Benth.","526668","species","http://www.worldfloraonline.org/taxon/wfo-0000533450;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636360","","Annonaceae","1","1","wfo,wcvp","",true,65
"45","Anaxagorea crassipetala","1","526672","Anaxagorea crassipetala","1","species","","","","Hemsl.","Annonaceae","Anaxagorea","Anaxagorea","1","crassipetala","crassipetala","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000533454;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636364","","Y","Accepted","Anaxagorea crassipetala","Anaxagorea crassipetala","Hemsl.","526672","species","http://www.worldfloraonline.org/taxon/wfo-0000533454;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636364","","Annonaceae","1","1","wfo,wcvp","",true,66
"46","Anaxagorea dolichocarpa","1","526673","Anaxagorea dolichocarpa","1","species","","","","Sandwith & Sandwith","Annonaceae","Anaxagorea","Anaxagorea","1","dolichocarpa","dolichocarpa","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000533455","","Y","Accepted","Anaxagorea dolichocarpa","Anaxagorea dolichocarpa","Sandwith & Sandwith","526673","species","http://www.worldfloraonline.org/taxon/wfo-0000533455","","Annonaceae","1","1","wfo","",true,67
"47","Anaxagorea manausensis","1","526684","Anaxagorea manausensis","1","species","","","","Timmerman","Annonaceae","Anaxagorea","Anaxagorea","1","manausensis","manausensis","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000533466;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636377","","Y","Accepted","Anaxagorea manausensis","Anaxagorea manausensis","Timmerman","526684","species","http://www.worldfloraonline.org/taxon/wfo-0000533466;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636377","","Annonaceae","1","1","wfo,wcvp","",true,69
"48","Anaxagorea phaeocarpa","1","526695","Anaxagorea phaeocarpa","1","species","","","","Mart.","Annonaceae","Anaxagorea","Anaxagorea","1","phaeocarpa","phaeocarpa","1","","","","","","","","","","","","http://www.worldfloraonline.org/taxon/wfo-0000533477;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636387","","Y","Accepted","Anaxagorea phaeocarpa","Anaxagorea phaeocarpa","Mart.","526695","species","http://www.worldfloraonline.org/taxon/wfo-0000533477;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636387","","Annonaceae","1","1","wfo,wcvp","",true,70
