Taxon name,Genus,Family,URL,Reference,Symmetry,Notes,Data source,Rank scored at,Data entered by,Entry date,
Gunniopsis calcarea,Gunniopsis,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Gunniopsis kochii,Gunniopsis,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Gunniopsis quadrifida,Gunniopsis,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Mesembryanthemum crystallinum,Mesembryanthemum,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Mesembryanthemum nodiflorum,Mesembryanthemum,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Sarcozona praecox,Sarcozona,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Sesuvium portulacastrum,Sesuvium,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Tetragonia diptera,Tetragonia,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Tetragonia eremaea,Tetragonia,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Tetragonia implexicoma,Tetragonia,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Tetragonia moorei,Tetragonia,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Trianthema pilosum,Trianthema,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Trianthema rhynchocalyptrum,Trianthema,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Trianthema triquetrum,Trianthema,Aizoaceae,https://profiles.ala.org.au/opus/foa/profile/Aizoaceae,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""flowers actinomorphic""",explicit from the text (described as such),family,Ruby Stephens,6/1/2021,
Achyranthes aspera,Achyranthes,Amaranthaceae,https://profiles.ala.org.au/opus/foa/profile/Achyranthes,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Tepals 5, free, subequal""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Aerva javanica,Aerva,Amaranthaceae,https://florabase.dpaw.wa.gov.au/browse/profile/21380,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Calyx...regular, or unequal but not bilabiate (the 2 outer sepals often slightly larger than the inner 3)""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Alternanthera angustifolia,Alternanthera,Amaranthaceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Alternanthera~angustifolia,Flora of NSW Online (PlantNET) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Ruby Stephens,7/1/2021,
Alternanthera denticulata,Alternanthera,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/a2698aa0-d263-468a-944f-4efc263f276a,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""tepals equal""",interpreted from the text,species,Ruby Stephens,7/1/2021,
Alternanthera nana,Alternanthera,Amaranthaceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Alternanthera~nana,Flora of NSW Online (PlantNET) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Ruby Stephens,7/1/2021,
Alternanthera nodiflora,Alternanthera,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/b651c94d-21ac-43cf-9ddb-738c9c770c88,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""tepals equal""",interpreted from the text,species,Ruby Stephens,7/1/2021,
Amaranthus mitchellii,Amaranthus,Amaranthaceae,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Amaranthus~mitchellii,Flora of NSW Online (PlantNET) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Ruby Stephens,7/1/2021,
Gomphrena affinis,Gomphrena,Amaranthaceae,https://florabase.dpaw.wa.gov.au/browse/profile/21386,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Calyx…regular, or unequal but not bilabiate (the outer 3 larger than the inner 2)""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Gomphrena breviflora,Gomphrena,Amaranthaceae,https://florabase.dpaw.wa.gov.au/browse/profile/21386,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Calyx…regular, or unequal but not bilabiate (the outer 3 larger than the inner 2)""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Gomphrena canescens,Gomphrena,Amaranthaceae,https://florabase.dpaw.wa.gov.au/browse/profile/21386,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Calyx…regular, or unequal but not bilabiate (the outer 3 larger than the inner 2)""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Gomphrena celosioides,Gomphrena,Amaranthaceae,https://florabase.dpaw.wa.gov.au/browse/profile/21386,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Calyx…regular, or unequal but not bilabiate (the outer 3 larger than the inner 2)""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Gomphrena flaccida,Gomphrena,Amaranthaceae,https://florabase.dpaw.wa.gov.au/browse/profile/21386,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Calyx…regular, or unequal but not bilabiate (the outer 3 larger than the inner 2)""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Gomphrena kanisii,Gomphrena,Amaranthaceae,https://florabase.dpaw.wa.gov.au/browse/profile/21386,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Calyx…regular, or unequal but not bilabiate (the outer 3 larger than the inner 2)""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Gomphrena lanata,Gomphrena,Amaranthaceae,https://florabase.dpaw.wa.gov.au/browse/profile/21386,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Calyx…regular, or unequal but not bilabiate (the outer 3 larger than the inner 2)""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Gomphrena leptoclada,Gomphrena,Amaranthaceae,https://florabase.dpaw.wa.gov.au/browse/profile/21386,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Calyx…regular, or unequal but not bilabiate (the outer 3 larger than the inner 2)""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Gomphrena parviflora,Gomphrena,Amaranthaceae,https://florabase.dpaw.wa.gov.au/browse/profile/21386,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Calyx…regular, or unequal but not bilabiate (the outer 3 larger than the inner 2)""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus aervoides,Ptilotus,Amaranthaceae,http://eflora.nt.gov.au/factsheet?id=140,Flora of the Northern Territory Online (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""The flowers have 5 alike hairy perianth segments""",interpreted from the text,species,Ruby Stephens,7/1/2021,
Ptilotus calostachyus,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus carinatus,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus clementii,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus corymbosus,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus divaricatus,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus drummondii,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus erubescens,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus fusiformis,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus gaudichaudii,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus gomphrenoides,Ptilotus,Amaranthaceae,https://florabase.dpaw.wa.gov.au/browse/profile/2728,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Ruby Stephens,7/1/2021,
Ptilotus helipteroides,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus holosericeus,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus lanatus,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,22/4/2021,
Ptilotus latifolius,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus macrocephalus,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus nobilis,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus obovatus,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/38fb2d65-e078-44a5-9398-c50691d8259d,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Ruby Stephens,7/1/2021,
Ptilotus polystachyus,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/c57b9eec-52b6-4acf-9dc7-45449e3a717b,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Ruby Stephens,7/1/2021,
Ptilotus schwartzii,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus seminudus,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus sessilifolius,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/624b6787-2934-42cd-b2ac-60234d6077c6,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Ruby Stephens,7/1/2021,
Ptilotus spicatus,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Ptilotus whitei,Ptilotus,Amaranthaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/15df3148-f61d-4c4b-8b01-7089e915e1b8,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""perianth of 5 equal, stiff, linear segments, free or shortly fused near base""",interpreted from the text,genus,Ruby Stephens,7/1/2021,
Surreya diandra,Surreya,Amaranthaceae,http://eflora.nt.gov.au/factsheet?id=136,Flora of the Northern Territory Online (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""The flowers have 5 alike glabrous pink and white perianth segments""",interpreted from the text,species,Ruby Stephens,7/1/2021,
Calostemma luteum,Calostemma,Amaryllidaceae,https://profiles.ala.org.au/opus/foa/profile/Calostemma,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""Flowers…actinomorphic""",explicit from the text (described as such),genus,Ruby Stephens,29/1/2021,
Calostemma purpureum,Calostemma,Amaryllidaceae,https://profiles.ala.org.au/opus/foa/profile/Calostemma,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),"""Flowers…actinomorphic""",explicit from the text (described as such),genus,Ruby Stephens,29/1/2021,
Blepharocarya depauperata,Blepharocarya,Anacardiaceae,http://eflora.nt.gov.au/factsheet?id=207,Flora of the Northern Territory Online (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),,guessed from the illustration,species,Ruby Stephens,28/1/2021,
Buchanania obovata,Buchanania,Anacardiaceae,https://florabase.dpaw.wa.gov.au/browse/profile/22453,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Flowers...regular; 5 merous...Perianth with distinct calyx and corolla; 3–5, or 6–10; 1 -whorled, or 2 -whorled; isomerous""",interpreted from the text,genus,Ruby Stephens,28/1/2021,
Schinus molle,Schinus,Anacardiaceae,https://profiles.ala.org.au/opus/foa/profile/Schinus%20molle,Flora of Australia Online (2021),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,guessed from the illustration,species,Ruby Stephens,28/1/2021,
Actinotus helianthi,Actinotus,Apiaceae,https://florabase.dpaw.wa.gov.au/browse/profile/21865,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Flowers...regular; 5 merous (except for the gynoecium)...Perianth with distinct calyx and corolla, or sepaline; 5, or 10; 2 -whorled, or 1 -whorled; isomerous...Calyx present; 5; 1 -whorled; gamosepalous; shortly 5- lobed, or entire; persistent; with the median member posterior. Corolla present, or absent; when present, 5; 1 -whorled; polypetalous; valvate; regular""",interpreted from the text,genus,Ruby Stephens,25/1/2021,
Actinotus minor,Actinotus,Apiaceae,https://florabase.dpaw.wa.gov.au/browse/profile/21865,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Flowers...regular; 5 merous (except for the gynoecium)...Perianth with distinct calyx and corolla, or sepaline; 5, or 10; 2 -whorled, or 1 -whorled; isomerous...Calyx present; 5; 1 -whorled; gamosepalous; shortly 5- lobed, or entire; persistent; with the median member posterior. Corolla present, or absent; when present, 5; 1 -whorled; polypetalous; valvate; regular""",interpreted from the text,genus,Ruby Stephens,25/1/2021,
Daucus glochidiatus,Daucus,Apiaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/dea8e783-5dca-484d-a3c7-8d10b187e032,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"Reyes cites Daucus carota as zygomorphic, described in Australia as actinomorphic at the Apiaceae family level (https://profiles.ala.org.au/opus/foa/profile/Apiaceae) but photos show variability in corolla symmetry. Scored as both actinomorphic and zygomorphic.",guessed from the illustration,species,Ruby Stephens,2/2/2021,
Daucus glochidiatus,Daucus,Apiaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/dea8e783-5dca-484d-a3c7-8d10b187e032,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (2) zygomorphic,"Reyes cites Daucus carota as zygomorphic, described in Australia as actinomorphic at the Apiaceae family level (https://profiles.ala.org.au/opus/foa/profile/Apiaceae) but photos show variability in corolla symmetry. Scored as both actinomorphic and zygomorphic.",guessed from the illustration,species,Ruby Stephens,2/2/2021,
Oreomyrrhis ciliata,Oreomyrrhis,Apiaceae,https://www.utas.edu.au/dicotkey/dicotkey/API/zOreomyrrhus.htm,Key to Tasmanian Vascular Plants (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),,guessed from the illustration,species,Ruby Stephens,2/2/2021,
Oreomyrrhis eriopoda,Oreomyrrhis,Apiaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/99c816f6-4836-45b3-8b10-d5a50c734915#&gid=1&pid=2,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),,guessed from the illustration,species,Ruby Stephens,25/1/2021,
Platysace ericoides,Platysace,Apiaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/1e625976-3791-4e34-9c5a-fac6bfdc2f6f#&gid=1&pid=4,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),,guessed from the illustration,species,Ruby Stephens,25/1/2021,
Platysace filiformis,Platysace,Apiaceae,https://florabase.dpaw.wa.gov.au/browse/profile/21878,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),"""Flowers...regular; 5 merous (except for the gynoecium)...Calyx when detectable, 5; 1 -whorled; gamosepalous; more or less entire (reduced to a minute, inconspicuous rim); with the median member posterior. Corolla 5; 1 -whorled; polypetalous; valvate to imbricate; regular""",interpreted from the text,genus,Ruby Stephens,25/1/2021,
Platysace heterophylla,Platysace,Apiaceae,https://vicflora.rbg.vic.gov.au/flora/taxon/e21e5c87-de29-4561-83cb-a12a7c2800a5#&gid=1&pid=1,Flora of Victoria Online (VicFlora) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),,guessed from the illustration,species,Ruby Stephens,25/1/2021,
Platysace linearifolia,Platysace,Apiaceae,https://www.anbg.gov.au/cgi-bin/phtml?pc=dig&pn=14096,Australian Plant Image Index (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),,guessed from the illustration,species,Ruby Stephens,25/1/2021,
Platysace trachymenioides,Platysace,Apiaceae,https://florabase.dpaw.wa.gov.au/browse/profile/14999,Flora of Western Australia Online (FloraBase) (2021),207. Symmetry of perianth (D1): (5) actinomorphic (general),,guessed from the illustration,species,Ruby Stephens,25/1/2021,
