og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,sym_RS_scored
Linaria.peloponesica,Scrophulariaceae,6.4,0.6,3,Mt. Olympos (Greece)-1993,40.06666667,22.45,2600 to 2750,Alpine meadow/scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jul.,NA,NA,NA,marcoshighquality marcoscommunity,6.4,Linaria peloponesica,NA
Linum.hirsutum,Linaceae,4.6,0.4,3,Mt. Olympos (Greece)-1993,40.06666667,22.45,2600 to 2750,Alpine scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,4.6,Linum hirsutum,NA
Linum.hirsutum,Linaceae,2.8,0.4,3,Mt. Olympos (Greece)-1994,NA,NA,NA,NA,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,2.8,Linum hirsutum,NA
Linum.strictum,Linaceae,4,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4,Linum strictum,NA
Lippia.nodiflora(=Phyla.nodiflora),Verbenaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Phyla nodiflora,NA
Lippia.nodiflora(=Phyla.nodiflora),Verbenaceae,< 12 h,NA,0,"Lake Texoma, University of Oklahoma Research Station, Oklahoma (USA)",NA,NA,NA,Sandy beach,Estes & Brown (1973). Amer. J. Bot. 60: 228-230.,NA,SC,1,As Phyla incisa.,NA,NA,Colour change after anthesis,marcoshighquality,0.5,Phyla nodiflora,NA
Lloydia.oxycarpa,Liliaceae,4.25,0.12,NA,"Lijiang Alpine Botanical Garden, Yunnan (China)",27.00472222,100.1847222,3246,Botanical garden,Niu et al. (2017). Plant Divers. 39: 187-193.,NA,NA,NA,Sex-labile species. Data for hermaphrodites.,NA,NA,NA,marcoshighquality marcoshighquality,4.25,Lloydia oxycarpa,NA
Lloydia.oxycarpa,Liliaceae,4.64,0.14,NA,NA,NA,NA,NA,NA,Niu et al. (2017). Plant Divers. 39: 187-193.,NA,NA,NA,Sex-labile species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,4.64,Lloydia oxycarpa,NA
Lobelia.cardinalis,Campanulaceae,8.3,0.134538317,2,"5 km E from Alan Seger NM, Pennsylvania (USA)",NA,NA,NA,"Deciduous forest, 1980",Devlin & Stephenson (1985). Amer. J. Bot. 72: 303-310.,NA,SC,1,Aug-Sep.,NA,NA,NA,marcoshighquality marcoshighquality,8.3,Lobelia cardinalis,NA
Lobelia.cardinalis,Campanulaceae,7.8,0.092747779,2,NA,NA,NA,NA,"Deciduous forest, 1982",Devlin & Stephenson (1985). Amer. J. Bot. 72: 303-310.,NA,NA,NA,Aug-Sep.,NA,NA,NA,marcoshighquality marcoshighquality,7.8,Lobelia cardinalis,NA
Lobelia.laxiflora,Campanulaceae,5,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,5,Lobelia laxiflora,NA
Lonicera.arborea,Caprifoliaceae,4,NA,NA,"Nava de las Correhuelas, P. N. Cazorla (Spain)",NA,NA,1615,NA,Jordano (1990). Anales Jard. Bot. Madrid 48: 31-52.,NA,SC Xen,1,Jun-Jul. Flower length as tube length in Table 1.,6,NA,NA,marcoshighquality,4,Lonicera arborea,NA
Lonicera.etrusca,Caprifoliaceae,3 to 4,NA,NA,"Cañada del Espino, P. N. Cazorla (Spain)",NA,NA,1350,NA,Jordano (1990). Anales Jard. Bot. Madrid 48: 31-52.,NA,SC Xen,1,Jun-Jul. Flower length as tube length in Table 1.,NA,NA,NA,marcoshighquality,3.5,Lonicera etrusca,NA
Lonicera.etrusca,Caprifoliaceae,3,NA,NA,"2 sites at La Barosa, León (Spain)",NA,NA,500 to 550,Secondary scrubland in Q. rotundifolia forest,Guitián et al. (1993). Acta Oecol. 14: 219-227.,NA,SC Xen,1,Apr-May.,NA,NA,NA,marcoshighquality,3,Lonicera etrusca,NA
Lophocereus.schottii,Cactaceae,0.5,NA,NA,"Bahia Kino, Sonora (Mexico)",28.83333333,-112.0833333,200-450 m,Desert,Fleming & Holland (1998). Oecologia 114: 368-375.,NA,SI,0,Apr-Aug. Flower mass: 1.6 +- 0.1 g. Coordinates from Fleming et al. (1996). Flower diameter from Holland & Fleming (1999).,NA,NA,Nocturnal anthesis,marcoshighquality,0.5,Lophocereus schottii,NA
Lotus.corniculatus,Fabaceae,4.2,0.4,3,Mt. Olympos (Greece)-1993,40.06666667,22.45,2600 to 2750,Alpine meadow,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun.,NA,NA,NA,marcoshighquality marcoscommunity,4.2,Lotus corniculatus,NA
Ludovia.lancifolia,Cyclanthaceae,2,NA,NA,Nourages NR (French Guyana),4.083333333,-52.68333333,NA,Tropical lowland forest,Teichert et al. (2018). Plant Syst Evol 304: 831-839.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,2,Ludovia lancifolia,NA
Luisia.teres,Orchidaceae,15.6,NA,1,Kumamoto University (Japan),NA,NA,NA,Greenhouse,Sugiura et al. (2021). Pl. Sp. Biol. 36: 52-59.,NA,SC Xen,1,Jun-Jul.,"Shorter, but unspecified",NA,NA,marcoshighquality,15.6,Luisia teres,NA
Lycianthes.synanthera,Solanaceae,1.8,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.8,Lycianthes synanthera,NA
Lyonia.ligustrina,Ericaceae,4,NA,1,"Great Swamp, Rhode Island (USA)",41.48333333,-71.53333333,NA,Marsh,Rathcke (1988). J. Ecol. 76: 975-994.,NA,SC Aut,NA,Jun-Jul. Median value provided (mode = 4).,NA,NA,NA,marcoshighquality,4,Lyonia ligustrina,NA
Machaerium.opacum,Fabaceae,1 to 2 d,NA,NA,"Rio Preto SP, Minas Gerais (Brazil)",-18.11777778,-43.345,800,Cerrado,Siqueira et al. (2018). Arthropod-Plant Interact. 12: 633-645.,NA,NA,NA,NA,NA,NA,Open at night,marcoshighquality,1.5,Machaerium opacum,NA
Magnolia.jardinensis,Magnoliaceae,2.083333333,NA,1,"Jardin, Antioquia (Colombia)",NA,NA,2000 to 2600,Tropical forest,Serna-González et al. (2022). Pl. Sp. Biol. 37: 20-37.,NA,NA,NA,All year round except Nov. Longevity calculated until the end of the male phase. Petals remain until 3 days after the end of the male phase.,NA,NA,Open at 16:00. Close 20 h between f and m phases.,marcoshighquality,2.083333333,Magnolia jardinensis,NA
Magnolia.yarumalensis,Magnoliaceae,1.020833333,NA,1,"Jardin, Antioquia (Colombia)",NA,NA,2000 to 2600,Tropical forest,Serna-González et al. (2022). Pl. Sp. Biol. 37: 20-37.,NA,NA,NA,All year round. Longevity calculated until the end of the male phase. Petals remain until several days after the end of the male phase.,NA,NA,Open at 7:30. Close 14 h between f and m phases.,marcoshighquality,1.020833333,Magnolia yarumalensis,NA
Malcolmia.chia,Brassicaceae,6.6,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,6.6,Malcolmia chia,NA
Malpighia.glabra,Malpighiaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Malpighia glabra,NA
Malva.sylvestris,Malvaceae,4,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4,Malva sylvestris,NA
Malvaviscus.palmatus,Campanulaceae,2,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2,Malvaviscus palmatus,NA
Mammillaria.grahamii,Cactaceae,1.015957447,0.01,NA,"Tucson, Arizona (USA)",32.26666667,-111.0333333,720,Desert,Bowers (2002). Madroño 49: 201-206.,NA,SI,NA,Mar-Sep.,1.221830986,0.02,NA,marcoshighquality,1.015957447,Mammillaria grahamii,NA
Mandevilla.tenuifolia,Apocynaceae,3 to 4,NA,NA,"RPPN Fazenda Almas, Paraiba (Brazil)",-7.479166667,-36.905,NA,Caatinga,de Araújo et al. (2014). Plant Biol. 16: 947-955.,NA,SC Xen,Little,Dec-Feb.,3 to 4,NA,NA,marcoshighquality,3.5,Mandevilla tenuifolia,NA
Maranthes.polyandra,Crhysobalanaceae,0.666666667,NA,1,Mole NP (Ghana),9.333333333,-1.833333333,NA,Savanna,Lack (1978). J. Ecol. 66: 287-295.,NA,NA,1,NA,NA,NA,Nocturnal anthesis (17:30 to 11:30),marcoshighquality,0.666666667,Maranthes polyandra,NA
Marginatocereus.marginatus,Cactaceae,0.8125,NA,NA,"Zapotitlán de las Salinas, Puebla (Mexico)",18.33333333,-97.46666667,1550,Desert,Dar et al. (2006). Ann. Bot. 97: 423-427.,NA,SI?,1,NA,NA,NA,Dusk to next afternoon,marcoshighquality,0.8125,Marginatocereus marginatus,NA
Matayba.apetala,Sapindaceae,2.4,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.4,Matayba apetala,NA
Mazus.miquelii,Phrymaceae,3.07,0.18,3,"Wuhan Botanical Garden, Hubei (China)",NA,NA,NA,Botanical garden,Jin et al. (2015). J. Syst. Evol. 53: 259-265.,NA,part SC,1,Late Mar-early Jun.,4.41,0.28,NA,marcoshighquality,3.07,Mazus miquelii,NA
Mazus.pumilus,Phrymaceae,1.45,0.11,3,"Wuhan Botanical Garden, Hubei (China)",NA,NA,NA,Botanical garden,Jin et al. (2015). J. Syst. Evol. 53: 259-265.,NA,SC,0,Late Mar-early Jun.,1.8,0.2,NA,marcoshighquality,1.45,Mazus pumilus,NA
Mazus.stachydifolius,Phrymaceae,3.14,0.25,3,"Wuhan Botanical Garden, Hubei (China)",NA,NA,NA,Botanical garden,Jin et al. (2015). J. Syst. Evol. 53: 259-265.,NA,SI,1,Late Mar-early Jun.,4.42,0.34,NA,marcoshighquality,3.14,Mazus stachydifolius,NA
Medicago.citrina,Fabaceae,5.7,0.4,3,"Grossa, Columbretes Islands (Spain)",NA,NA,NA,Mediterranean scrubland,Pérez-Bañón et al. (2003). Plant Syst. Evol. 241: 29-46.,NA,SC Xen,1,Jan-May.,8,0.2,NA,marcoshighquality,5.7,Medicago citrina,NA
Medicago.lupulina,Fabaceae,2.3,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.3,Medicago lupulina,NA
Medicago.sativa,Fabaceae,5,NA,0,"Urat desert, Inner Mongolia (China)",41.25833333,107.05,NA,Dry grassland,Chen et al. (2018). Ecol. Evol. 8: 9007-9016.,NA,SI (SCI=0.1),1,Late May-late Jul.,NA,NA,NA,marcoshighquality,5,Medicago sativa,NA
Melocactus.curvispinus,Cactaceae,0.291666667,NA,NA,"Padre Diego, Cerro Saroche NP (Venezuela)",10.13333333,-69.53333333,NA,Xerophilous scrub,Nassar & Ramírez (2004) Plant Syst Evol 248: 31-44.,NA,SC (0.728; 0.702),1,"Flowers most of the year, peaks in May-Jul and Sep-Oct..",NA,NA,Open at morning,marcoshighquality,0.291666667,Melocactus curvispinus,NA
Melochia.nodiflora,Malvaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Melochia nodiflora,NA
Merremia.umbellata,Convolvulaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Merremia umbellata,NA
Mertensia.fusiformis,Boraginaceae,2.54,0.257935591,2,"RMBL, Colorado (USA)",38.96,-106.99,2900,Alpine meadow,Fung & Thomson (2017). J. Poll. Ecol. 21: 86-91.,NA,NA,NA,NA,2.31,0.238521084,NA,marcoshighquality,2.54,Mertensia fusiformis,NA
Miconia.albicans,Melastomataceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,Apomictic,0,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Miconia albicans,NA
Miconia.burchellii,Melastomataceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Miconia burchellii,NA
Miconia.cataractae,Melastomataceae,2 to 3,NA,0,Ventaquemada (Colombia),5.418583333,-73.54636111,3131 to 3350,Páramo,Manrique Valderrama et al. (2022). Pl. Sp. Biol. 37: 160-172.,NA,NA,1,Oct-Dec.,NA,NA,NA,marcoshighquality,2.5,Miconia cataractae,NA
Miconia.elaeoides,Melastomataceae,2 to 3,NA,0,Ventaquemada (Colombia),5.418583333,-73.54636111,3350,Páramo,Manrique Valderrama et al. (2022). Pl. Sp. Biol. 37: 160-172.,NA,SC (ISI=0.6),1,Jan-Feb.,NA,NA,NA,marcoshighquality,2.5,Miconia elaeoides,NA
Miconia.ferruginata,Melastomataceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Miconia ferruginata,NA
Mimosa.pudica,Fabaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,0.5,Mimosa pudica,NA
Mimulus.guttatus,Phrymaceae,"Outcrossed, low water: 2.38",0.230584541,2,University of Kansas (USA),NA,NA,NA,Greenhouse,Arathi et al. (2002). Int. J. Plant Sci. 163: 567-573.,NA,SC,Little,NA,"Unvisited, low water: 4.54",0.122112095,NA,marcoshighquality marcoshighquality,2.38,Mimulus guttatus,NA
Mimulus.guttatus,Phrymaceae,"Outcrossed, high water: 2.65",0.121428571,2,NA,NA,NA,NA,NA,Arathi et al. (2002). Int. J. Plant Sci. 163: 567-573.,NA,NA,NA,NA,"Unvisited, high water: 4.92",0.140107775,NA,marcoshighquality marcoshighquality,2.65,Mimulus guttatus,NA
Minuartia.verna,Caryophyllaceae,4,0.4,3,Mt. Olympos (Greece)-1994,40.06666667,22.45,2600 to 2750,Alpine meadow and scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun-Jul.,NA,NA,NA,marcoshighquality marcoscommunity,4,Minuartia verna,NA
Monnina.sylvatica,Polygalaceae,2.6,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.6,Monnina sylvatica,NA
Monochaetum.floribundum,Melastomataceae,1,NA,0,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Monochaetum floribundum,NA
Monochaetum.linearifolium,Melastomataceae,1,NA,0,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Monochaetum linearifolium,NA
Monodora.tenuifolia,Annonaceae,3,NA,NA,"Nguti, Banyang Mbo WS (Cameroon)",5.35,9.641666667,NA,Tropical rain forest,Gottsberger et al. (2011). Flora 206: 498-510.,NA,NA,Thermogenesis,Coordinates are the middle point of the range provided.,NA,NA,NA,marcoshighquality,3,Monodora tenuifolia,NA
Monopyle.maxonii,Gesneriaceae,4.3,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4.3,Monopyle maxonii,NA
Moraea.bifida,Iridaceae,0.25,NA,NA,"Nieuwoudtville, Cape province (South Africa)",NA,NA,NA,Cape flora,Goldblatt & Bernhardt (1999). Ann. MO Bot. Gard. 86: 47-56.,NA,SI,Little,Sep-Oct.,NA,NA,Open at midday,marcoshighquality,0.25,Moraea bifida,NA
Moraea.collina,Iridaceae,1.5,NA,NA,"Cape Town, Signal Hill, Cape province (South Africa)",NA,NA,NA,Cape flora,Goldblatt & Bernhardt (1999). Ann. MO Bot. Gard. 86: 47-56.,NA,SC,1,Aug-Sep.,NA,NA,NA,marcoshighquality,1.5,Moraea collina,NA
Moraea.comptonii,Iridaceae,1.25,NA,NA,"Bot river, Cape province (South Africa)",NA,NA,NA,Cape flora,Goldblatt & Bernhardt (1999). Ann. MO Bot. Gard. 86: 47-56.,NA,SI,1,Aug-Sep.,NA,NA,NA,marcoshighquality,1.25,Moraea comptonii,NA
Moraea.elegans,Iridaceae,1.25,NA,NA,"Napier, Cape province (South Africa)",NA,NA,NA,Cape flora,Goldblatt & Bernhardt (1999). Ann. MO Bot. Gard. 86: 47-56.,NA,SI,1,Sep.,NA,NA,NA,marcoshighquality,1.25,Moraea elegans,NA
Moraea.miniata,Iridaceae,0.208333333,NA,NA,"Clanwillian, Cape province (South Africa)",NA,NA,NA,Cape flora,Goldblatt & Bernhardt (1999). Ann. MO Bot. Gard. 86: 47-56.,NA,SI,1,Sep.,NA,NA,Open in the afternoon,marcoshighquality,0.208333333,Moraea miniata,NA
Moraea.ochroleuca,Iridaceae,1.25,NA,NA,"Sir Lowry's Pass, Cape province (South Africa)",NA,NA,NA,Cape flora,Goldblatt & Bernhardt (1999). Ann. MO Bot. Gard. 86: 47-56.,NA,SI,Little,Aug-Oct.,NA,NA,NA,marcoshighquality,1.25,Moraea ochroleuca,NA
Moraea.reflexa,Iridaceae,0.25,NA,NA,"Calvinia, top of Hantamsberg, Cape province (South Africa)",NA,NA,NA,Cape flora,Goldblatt & Bernhardt (1999). Ann. MO Bot. Gard. 86: 47-56.,NA,SI,1,Oct.,NA,NA,NA,marcoshighquality,0.25,Moraea reflexa,NA
Moraea.vallisbelli,Iridaceae,0.25,NA,NA,"Nieuwoudtville, Cape province (South Africa)",NA,NA,NA,Cape flora,Goldblatt & Bernhardt (1999). Ann. MO Bot. Gard. 86: 47-56.,NA,SI,1,Sep-Oct.,NA,NA,Open in the morning,marcoshighquality,0.25,Moraea vallisbelli,NA
Moraea.pseudospicata,Iridaceae,0.104166667,NA,NA,"Nieuwoudtville, Cape province (South Africa)",NA,NA,NA,Cape flora,Goldblatt & Bernhardt (1999). Ann. MO Bot. Gard. 86: 47-56.,NA,SI,1,Mar-Apr.,NA,NA,Open in the afternoon,marcoshighquality,0.104166667,Moraea pseudospicata,NA
Morinda.parvifolia,Rubiaceae,1,NA,NA,"6 sites, main site Huolushan SCBG, Guangdong (China)",NA,NA,NA,Forest,Liu et al. (2012). Plant Syst. Evol. 298: 775-785.,NA,SI,1,Apr-Jun. D species; data for females.,NA,NA,Open at night,marcoshighquality marcoshighquality,1,Morinda parvifolia,NA
Morinda.parvifolia,Rubiaceae,1,NA,NA,NA,NA,NA,NA,NA,Liu et al. (2012). Plant Syst. Evol. 298: 775-785.,NA,SI,NA,D species; data for males.,NA,NA,NA,marcoshighquality marcoshighquality,1,Morinda parvifolia,NA
Morinda.royoc,Rubiaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Morinda royoc,NA
Morinda.umbellata.ssp.boninensis,Rubiaceae,1,NA,NA,Bonin Islands (Japan),NA,NA,NA,Tropical forest,Nishide et al. (2009). Acta Phytotax. Geobot. 60: 61-70.,NA,NA,NA,Ad species. Data are valid for both sexes.,NA,NA,NA,marcoshighquality,1,Morinda umbellata ssp boninensis,NA
Musa.itinerans,Musaceae,1.245833333,0.0338822,3,"Mamushu, Yunnan (China)",21.70555556,101.2877778,700,Tropical forest,Liu et al. (2002). Biotropica 34: 254-260.,NA,NA,1,M species. Data for male flowers.,NA,NA,Open through the whole day,marcoshighquality marcoshighquality,1.245833333,Musa itinerans,NA
Musa.itinerans,Musaceae,1.525,0.038301617,3,NA,NA,NA,NA,NA,Liu et al. (2002). Biotropica 34: 254-260.,NA,NA,1,M species. Data for female flowers.,NA,NA,Open through the whole day,marcoshighquality marcoshighquality,1.525,Musa itinerans,NA
Muscari.commutatum,Asparagaceae,4.3,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4.3,Muscari commutatum,NA
Muscari.comosum(=Leopoldia.comosa),Asparagaceae,3.3,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.3,Leopoldia comosa,NA
Muscari.neglectum,Asparagaceae,2.8,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.8,Muscari neglectum,NA
Musella.lasiocarpa(=Ensete.lasiocarpum),Musaceae,3 to 4,NA,0,"Zixishan NR, Yunnan (China)",25,102.3666667,NA,Semicultivated in conifer-oak forest,Liu et al. (2002). Plant Syst. Evol. 235: 135-146.,NA,NA,1,M species. Data for male flowers.,NA,NA,NA,marcoshighquality marcoshighquality,3.5,Ensete lasiocarpum,NA
Musella.lasiocarpa(=Ensete.lasiocarpum),Musaceae,4 to 6,NA,0,NA,NA,NA,NA,NA,Liu et al. (2002). Plant Syst. Evol. 235: 135-146.,NA,NA,1,M species. Data for female flowers.,NA,NA,NA,marcoshighquality marcoshighquality,5,Ensete lasiocarpum,NA
Myosotis.alpestris,Boraginaceae,3.8,0.2,3,Mt. Olympos (Greece)-1993,40.06666667,22.45,2600 to 2750,Alpine meadow and scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,3.8,Myosotis alpestris,NA
Myosotis.alpestris,Boraginaceae,3.8,0.3,3,Mt. Olympos (Greece)-1994,NA,NA,NA,NA,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,3.8,Myosotis alpestris,NA
Myrcia.splendens,Myrtaceae,1.1,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.1,Myrcia splendens,NA
Myristica.fatua.var.magnifica,Myristicaceae,3,NA,NA,"Kulathupuzha RF, Western Ghats (India)",8.85,77.08333333,NA,Lowland swamp forest,Krishna & Somanathan (2018). Plant Ecol. 219: 1247-1257.,NA,NA,NA,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,3,Myristica fatua var magnifica,NA
Myristica.fatua.var.magnifica,Myristicaceae,3 to 4,NA,NA,NA,NA,NA,NA,NA,Krishna & Somanathan (2018). Plant Ecol. 219: 1247-1257.,NA,NA,NA,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,3.5,Myristica fatua var magnifica,NA
Myrtillocactus.geometrizans,Cactaceae,0.3175,0.07,3,Tehuacán-Cuicatlán BR (Mexico),18.31933333,-97.45158611,1445,Semiarid,Aguilar-García et al. (2022). Pl. Sp. Biol. 37: 243-256.,NA,SC Xen,NA,Feb-Apr. Floral longevity and length given as average of N and S oriented flowers.,NA,NA,"Open at 4:30 AM, diurnal",marcoshighquality,0.3175,Myrtillocactus geometrizans,NA
Napoleonaea.vogelii,Lecythidaceae,7 to 12 h,NA,0,"La Makandé, Forêt des Abeilles (Gabon)",-0.666666667,11.9,NA,Tropical forest,Frame & Durou (2001). Biotropica 33: 458-471.,NA,NA,1,NA,NA,NA,Open in the early morning (6:00 to 8:00),marcoshighquality,0.395833333,Napoleonaea vogelii,NA
Narcissus.tazetta,Amaryllidaceae,17.1,3.4,NA,4 lowland sites (Israel),NA,NA,10 to 50,"Marsh, in Mediterranean-desert climate",Arroyo & Dafni (1995). New Phytol. 129: 135-145.,NA,SI,1,Jan-Feb. Flower measurements are averages of L and S morphs.,NA,NA,NA,marcoshighquality marcoshighquality,17.1,Narcissus tazetta,NA
Narcissus.tazetta,Amaryllidaceae,6.2,1.3,NA,8 hill sites (Israel),NA,NA,80 to 520,Desert,Arroyo & Dafni (1995). New Phytol. 129: 135-145.,NA,SI,1,Oct-Nov.,NA,NA,NA,marcoshighquality marcoshighquality,6.2,Narcissus tazetta,NA
Neea.amplifolia,Nyctaginaceae,2.9,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity,2.9,Neea amplifolia,NA
Neea.amplifolia,Nyctaginaceae,7.4,NA,1,NA,NA,NA,NA,NA,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity,7.4,Neea amplifolia,NA
Nelumbo.lutea,Nelumbonaceae,2,NA,NA,"Squaw Creek NWR, Missouri (USA)",NA,NA,NA,Lake,Dieringer et al. (2014). Amer. J. Bot. 101: 357-364.,NA,SC Xen,Thermogenesis,NA,NA,NA,Closes at night,marcoshighquality,2,Nelumbo lutea,NA
